scenario,mode,controller,metric,mean,std
square,CDW,pid,n_fail,0.0000,0.0000
square,CDW,mpc,radial_rms,10.0697,0.0000
square,CDW,mpc,radial_max,14.5198,0.0000
square,CDW,mpc,dc_ex,-6.7688,0.0000
square,CDW,mpc,dc_ey,-1.8495,0.0000
square,CDW,mpc,std_x,4.4956,0.0000
square,CDW,mpc,std_y,5.6525,0.0000
square,CDW,mpc,depth_std,0.3685,0.0000
square,CDW,mpc,pitch_mean,3.9290,0.0000
square,CDW,mpc,pitch_max,16.8048,0.0000
square,CDW,mpc,IAE,85.5728,0.0000
square,CDW,mpc,IAE_norm,9.9350,0.0000
square,CDW,mpc,settling_time,0.0000,0.0000
square,CDW,mpc,ss_error,9.9350,0.0000
square,CDW,mpc,control_effort,48.5531,0.0000
square,CDW,mpc,slew,32.3497,0.0000
square,CDW,mpc,sat_freq,0.0000,0.0000
square,CDW,mpc,band_dc,0.0000,0.0000
square,CDW,mpc,band_wave,3.4198,0.0000
square,CDW,mpc,band_high,1.6120,0.0000
square,CDW,mpc,est_err_rms,0.0000,0.0000
square,CDW,mpc,w_x,0.0000,0.0000
square,CDW,mpc,w_y,0.0000,0.0000
square,CDW,mpc,n_fail,0.0000,0.0000
square,CDW,dobmpc,radial_rms,11.1196,0.0000
square,CDW,dobmpc,radial_max,12.6177,0.0000
square,CDW,dobmpc,dc_ex,-9.1868,0.0000
square,CDW,dobmpc,dc_ey,-2.6976,0.0000
square,CDW,dobmpc,std_x,3.7457,0.0000
square,CDW,dobmpc,std_y,4.2355,0.0000
square,CDW,dobmpc,depth_std,0.2853,0.0000
square,CDW,dobmpc,pitch_mean,3.9506,0.0000
square,CDW,dobmpc,pitch_max,16.0263,0.0000
square,CDW,dobmpc,IAE,86.1038,0.0000
square,CDW,dobmpc,IAE_norm,11.0807,0.0000
square,CDW,dobmpc,settling_time,0.0000,0.0000
square,CDW,dobmpc,ss_error,11.0807,0.0000
square,CDW,dobmpc,control_effort,45.4288,0.0000
square,CDW,dobmpc,slew,38.5721,0.0000
square,CDW,dobmpc,sat_freq,0.0000,0.0000
square,CDW,dobmpc,band_dc,0.0000,0.0000
square,CDW,dobmpc,band_wave,2.8100,0.0000
square,CDW,dobmpc,band_high,1.2890,0.0000
square,CDW,dobmpc,est_err_rms,0.0552,0.0000
square,CDW,dobmpc,w_x,1.6146,0.0000
square,CDW,dobmpc,w_y,-0.0494,0.0000
square,CDW,dobmpc,n_fail,0.0000,0.0000
square,CDW,mpc/dobmpc,DRR,0.9056,0
